"User is registered during checkout without prompting a password","Brukerkonto registreres i prosessen uten å bli bedt om passord"
"Registration mode","Registreringsmodus"
"Show Discount Coupon Field","Vis rabattkode-felt"
"Firecheckout on Mobile Devices","Fire Checkout på mobile enheter"
"Enable Region Detection","Aktiver GeoIP gjenkjenning av region/fylke"
Example: %s,Eksempel: %s
"GeoIp filename","GeoIp filnavn"
"GeoIPRegion filename","GeoIPRegion filnavn"
"GeoCity filename","GeoCity filnavn"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Kjøp regionsdatabase'>Kjøp</a>, last ned og unzip under mappen 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' dersom du ønsker denne"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP er aktivert men ikke inkludert. Funksjonen geoip_open ble ikke funnet"
"Country detection is enabled but %s not found","Gjennkjenning av land er aktivert men %s ble ikke funnet"
"Region detection is enabled but %s not found","Gjennkjenning av region er aktivert men %s ble ikke funnet"
"City detection is enabled but %s not found","Gjennkjenning av by er aktivert men %s ble ikke funnet"
Company,Firma
Confirm Password,Bekreft passord
Country,Land
"Redirect to firecheckout after adding an item to the shopping cart","Send til Fire Checkout når en vare legges i handlekurven"
"Register customer during Paypal Express checkout if prompted","Registrer kunde (med samtykke) i løpet av Paypal Express betaling"
"Ship to the same address","Send varene til denne adressen"
Shipping Address,Leveringsadresse
"Validate taxvat number","Bekreft oppgitt taxvat (mva) nummer"
"Use online VIES validation","Bruk online VIES bekreftelse"
"Show Giftcard Field","Vis gavekort-felt"
"Works with Magento Enterprise/Pro Versions Only","Fungerer kun med Magento Enterprise/Pro"
"Address Form Fields Sort Order","Rekkefølge på adressefelt"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","For å plassere felt på samme rad, angi verdier i en sammenhengende rekkefølge: 1,2 eller 12,13 eller 20,21</br>For separate rader, hopp over tall: 1,3 eller 12,18 eller 20,30"
"Invalid VAT number","Ugyldig VAT (mva) nummer"
Login into your Account,Logg inn til kontoen din
"The VAT validation service unavailable. Please re-submit your request later.","Tjenesten for bekreftelse av VAT-nummer er ikke tilgjengelig, vennligst prøv senere."
"The provided CountryCode is invalid or the VAT number is empty","Oppgitt landskode eller VAT-nummer er ugyldig/tomt"
"The VAT validation service cannot process your request. Try again later.","Tjenesten for bekreftelse av VAT-nummer kan ikke gjennomføre forespørselen din, vennligst prøv senere."
"Unknown VAT validation service message. Try again later.","Tjenesten for bekreftelse av VAT-nummer ga en ukjent melding, vennligst prøv senere."
"The provided CountryCode is invalid for the VAT number","Oppgitt landskode er ugyldig for VAT-nummeret"
"Delivery Date and Time","Leveringstid og dato"
"Delivery Date","Leveringsdato"
"Delivery Time","Leveringstid"
Delivery will be available since order date plus this value,Levering vil være tilgjengelig etter ordredato pluss denne verdien
"Display Mode","Visningsmodus"
Email Address,Epostadresse
"Use Calendar","Bruk kalender"
"Exclude the Weekend Days","Ekskluder helger"
"Dates to Exclude","Ekskluder disse datoene"
"Use Time Range","Bruk tidsintervall"
"Time Ranges","Tidsintervaller"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Vi kan ikke levere på valgt dato, vennligst velg ny ønsket leveringsdato"
"We cannot deliver the package at the selected time. Please select another time for the delivery","Vi kan ikke levere på valgt tidspunkt, vennligst velg nytt ønsket klokkeslett for levering"
"Show for All Shipping Methods","Vis for alle leveringsmetoder"
"Show for Specific Shipping Methods","Vis for spesifikke leveringsmetoder"
"MM/DD/YYYY","MM/DD/YYYY"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Epostadressen er allerede knyttet til en brukerkonto. Vennligst logg inn med denne epostadressen eller velg en annen epostadresse for registreringen."
"You are browsing our store as %s %s","Du er logget inn som %s %s"
Zip/Postal Code,Postnr
"Please %s or %s a new account to place order.","Vennligst %s eller %s en ny konto for å plassere en ordre."
"Allow to edit shopping cart contents","Tillat oppdatering av handlekurven i oppsummeringen"
"Show product image","Vis produktbilder"
"We recommend to use 2columns layout when using this option. See the General options section.","Vi anbefaler å bruke 2kolonnes layout ved bruk av denne funksjonen. Se generelt-seksjonen."
"This email is already in use","Denne eposten er allerede i bruk"
"Please %slogin%s using this email address or %senter a different email address%s to register your account.","Vennligst %slogg inn%s med denne epostadressen eller %sfyll inn en annen epostadresse%s for å registrere deg."
"3 columns","3 kolonner"
Address,Adresse
"2 columns","2 kolonner"
